sbom_code,name,URL,path,dependencies,licenses,critical,high,medium,low,quality,format,version,successfully_processed,sbomqs_processed,osv_processed,cyclonedx_processed,sbom_utility_processed,pyspdxtools_processed,ntia_processed,cyclonedx_res,sbom_utility_res,pyspdxtools_res,ntia_res,language
ARM-software_CMSIS-FreeRTOS_adfcb9a6ba3892bf4d39daa212a8f37d36c2f9f9_viu0w1f5_sbom.spdx,CMSIS-FreeRTOS,https://raw.githubusercontent.com/ARM-software/CMSIS-FreeRTOS/adfcb9a6ba3892bf4d39daa212a8f37d36c2f9f9/Source/sbom.spdx,Source/sbom.spdx,1,1,0,0,0,0,6.52,spdx_spdx,SPDX-2.2,True,True,False,False,False,True,True,False,False,,False,C
BonexGoo_Boss2D_ee34d813bda65f8a03eec2477abb9ce8f2a6978d_lgr3ggu1_sbom.spdx.json,Boss2D,https://raw.githubusercontent.com/BonexGoo/Boss2D/ee34d813bda65f8a03eec2477abb9ce8f2a6978d/Boss2D/addon/cpython-3.12.2_for_boss/Misc/sbom.spdx.json,Boss2D/addon/cpython-3.12.2_for_boss/Misc/sbom.spdx.json,30,0,0,1,4,1,0,spdx_json,SPDX-2.3,True,False,True,False,True,True,False,False,False,,False,other
CactuseSecurity_firewall-orchestrator_747d9d8278f97aae11560005b152efc89d74ad40_8xb3gwj0_fwo-sbom.json,firewall-orchestrator,https://raw.githubusercontent.com/CactuseSecurity/firewall-orchestrator/747d9d8278f97aae11560005b152efc89d74ad40/documentation/SBOM/fwo-sbom.json,documentation/SBOM/fwo-sbom.json,105,105,0,0,0,0,8.65,cyclonedx_json,1.6,True,True,False,True,True,False,False,True,True,False,False,other
Checkmarx_kics_59f46f7b229f2c24ac2afa9757869bc21095c12c_rf2fimkj_kics.spdx.json,kics,https://raw.githubusercontent.com/Checkmarx/kics/59f46f7b229f2c24ac2afa9757869bc21095c12c/kics.spdx.json,kics.spdx.json,245,246,3,2,8,0,7.1,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,False,,False,other
DataDog_datadog-ci_264bdb639349be25cb3783b279ceb8dd427f9e89_t4vm86zg_sbom.json,datadog-ci,https://raw.githubusercontent.com/DataDog/datadog-ci/264bdb639349be25cb3783b279ceb8dd427f9e89/.github/workflows/e2e/sbom-reports/sbom.json,.github/workflows/e2e/sbom-reports/sbom.json,62,62,0,3,4,1,7.81,cyclonedx_json,1.4,True,True,True,True,True,False,False,True,True,False,False,TypeScript
Embarcadero_P4D-Data-Sciences_551db5923fad9a9e8384169233dd64ddf9f87d12_8mzy4h4f_bom.json,P4D-Data-Sciences,https://raw.githubusercontent.com/Embarcadero/P4D-Data-Sciences/551db5923fad9a9e8384169233dd64ddf9f87d12/bom.json,bom.json,3,0,0,0,0,0,3.91,cyclonedx_json,1.4,True,True,True,True,True,False,False,True,True,False,False,Pascal
FreeRTOS_FreeRTOS_release_3woovpg5_sbom.spdx,FreeRTOS,https://github.com/FreeRTOS/FreeRTOS/releases/download/202411.00/FreeRTOSv202411.00.zip,FreeRTOS/Source/sbom.spdx,1,1,0,0,0,0,6.52,spdx_spdx,SPDX-2.2,True,True,False,False,False,True,True,False,False,,False,C
FreeRTOS_FreeRTOS_release_ln0icj0f_sbom.spdx,FreeRTOS,https://github.com/FreeRTOS/FreeRTOS/releases/download/202411.00/FreeRTOSv202411.00.zip,FreeRTOS-Plus/Source/coreJSON/sbom.spdx,1,1,0,0,0,0,6.09,spdx_spdx,SPDX-2.2,True,True,False,False,False,True,True,False,False,,False,C
FreeRTOS_FreeRTOS_release_kqxf1v6u_sbom.spdx,FreeRTOS,https://github.com/FreeRTOS/FreeRTOS/releases/download/202411.00/FreeRTOSv202411.00.zip,FreeRTOS-Plus/Source/FreeRTOS-Plus-TCP/sbom.spdx,1,1,0,0,0,0,6.09,spdx_spdx,SPDX-2.2,True,True,False,False,False,True,True,False,False,,False,C
FreeRTOS_FreeRTOS_release_k040b4bb_sbom.spdx,FreeRTOS,https://github.com/FreeRTOS/FreeRTOS/releases/download/202411.00/FreeRTOSv202411.00.zip,FreeRTOS-Plus/Source/corePKCS11/sbom.spdx,2,2,0,0,0,0,5.87,spdx_spdx,SPDX-2.2,True,True,False,False,False,True,True,False,False,,False,C
