id,project_name,url,dependency_count,licenses_count,critical_cves_count,high_cves_count,medium_cves_count,low_cves_count,sbomqs_rating,format,format_version,origin,tool,creation_time
0,nextcloud,https://hub.docker.com/_/nextcloud,417,255,0,0,0,0,8.58,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T04:33:56Z
1,nextcloud:latest,https://hub.docker.com/_/nextcloud,420,276,0,0,0,0,8.3,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T04:33:57Z
2,nextcloud:latest,https://hub.docker.com/_/nextcloud,2349,0,0,0,0,0,6.33,spdx,SPDX-2.3,docker,bom-v0.5.1,2023-12-07T04:36:12Z
3,nextcloud,https://hub.docker.com/_/nextcloud,523,129,0,0,0,0,7.67,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T04:33:44Z
4,neo4j,https://hub.docker.com/_/neo4j,323,116,0,0,0,0,8.55,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T04:36:28Z
5,neo4j:latest,https://hub.docker.com/_/neo4j,327,86,0,0,0,0,7.84,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T04:36:28Z
6,neo4j:latest,https://hub.docker.com/_/neo4j,235,0,0,0,0,0,6.34,spdx,SPDX-2.3,docker,bom-v0.5.1,2023-12-07T04:36:53Z
7,neo4j,https://hub.docker.com/_/neo4j,360,84,0,0,0,0,7.36,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T04:36:21Z
8,alpine,https://hub.docker.com/_/alpine,16,11,0,0,0,0,9.03,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T04:36:58Z
9,alpine:latest,https://hub.docker.com/_/alpine,17,7,0,0,0,0,8.62,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T04:36:58Z
10,alpine:latest,https://hub.docker.com/_/alpine,120,8,0,0,0,0,8.44,spdx,SPDX-2.3,docker,bom-v0.5.1,2023-12-07T04:37:04Z
